message_delivered_at,message_body,to_user_role,from_user_role
2021-06-29 02:28:47.159 UTC,I'm in a gray Hyundai Elantra,passenger,driver
2021-08-01 01:04:15.819 UTC,,passenger,driver
2021-07-02 04:06:24.405 UTC,,passenger,driver
2021-11-22 21:54:44.787 UTC,Sounds good,passenger,driver
2021-07-01 18:09:56.898 UTC,"Gate code, please?",passenger,driver
2021-08-04 03:39:32.218 UTC,,passenger,driver
2021-08-20 00:37:27.143 UTC,Sounds good,passenger,driver
2021-11-11 01:47:02.996 UTC,"Gate code, please?",passenger,driver
2021-10-08 21:01:04.423 UTC,"I'm your driver, Ryan",passenger,driver
2021-08-04 00:56:38.482 UTC,,passenger,driver
2021-11-24 03:43:09.903 UTC,"Gate code, please?",passenger,driver
2021-07-11 18:39:27.143 UTC,,passenger,driver
2021-10-20 00:18:44.918 UTC,OK,passenger,driver
2021-09-21 23:30:43.949 UTC,"Gate code, please?",passenger,driver
2021-09-03 21:37:33.284 UTC,ok. I'm in a line of cars outside the auditorium,passenger,driver
2021-10-09 00:26:53.185 UTC,"Gate code, please?",passenger,driver
2021-09-21 23:02:36.864 UTC,Sounds good,passenger,driver
2021-11-14 06:24:00.581 UTC,"Gate code, please?",passenger,driver
2021-09-19 02:04:11.030 UTC,Stuck in traffic,passenger,driver
2021-07-09 01:18:56.785 UTC,,passenger,driver
2021-07-08 02:18:55.011 UTC,,passenger,driver
2021-10-17 01:11:46.978 UTC,"I'm at the emergency entrance, I'll drive around for the exit",passenger,driver
2021-09-05 01:31:44.038 UTC,Stuck in traffic,passenger,driver
2021-09-19 02:04:25.244 UTC,cops have the roads blocked off,passenger,driver
2021-06-19 03:44:00.476 UTC,no problem. I'm outside WalMart with my cart ☺️,driver,passenger
2021-11-22 23:06:38.428 UTC,Sounds good,passenger,driver
2021-07-07 21:40:44.628 UTC,,passenger,driver
2021-09-17 04:01:47.734 UTC,Sounds good,passenger,driver
2021-11-08 21:09:06.255 UTC,"Hi, where are you?",passenger,driver
2021-07-11 18:21:15.632 UTC,,passenger,driver
2021-08-03 22:22:40.438 UTC,,passenger,driver
2021-08-03 22:00:31.923 UTC,,passenger,driver
2021-09-21 23:31:08.293 UTC,Sounds good,passenger,driver
2021-07-31 19:45:50.378 UTC,,passenger,driver
2021-07-18 07:33:43.971 UTC,,passenger,driver
2021-06-29 02:28:47.165 UTC,"Hi, where are you?",passenger,driver
2021-10-25 21:30:21.425 UTC,Sounds good,passenger,driver
2021-09-16 22:03:34.319 UTC,OK,passenger,driver
2021-07-09 00:11:28.474 UTC,,passenger,driver
2021-10-23 07:18:38.568 UTC,he is checking in with the front desk,passenger,driver
2021-07-18 07:33:49.800 UTC,,passenger,driver
2021-08-21 17:00:10.000 UTC,"Hi, where are you?",passenger,driver
2021-08-30 19:56:47.117 UTC,"the gps has you in the middle of the street, I'm at the Valero. it's there a business you are at that I can come to?",passenger,driver
2021-07-19 04:24:50.786 UTC,,passenger,driver
2021-11-22 19:02:18.273 UTC,OK,passenger,driver
2021-11-13 09:58:13.326 UTC,Sounds good,passenger,driver
2021-11-26 20:44:49.971 UTC,no problem,passenger,driver
2021-09-14 21:53:42.128 UTC,"no problem, I can wait",passenger,driver
2021-11-12 00:26:26.498 UTC,Sounds good,passenger,driver
2021-11-19 03:06:20.984 UTC,Sounds good,passenger,driver
2021-09-15 23:59:32.880 UTC,Stuck in traffic,passenger,driver
2021-11-19 01:32:55.399 UTC,"Gate code, please?",passenger,driver
2021-09-02 22:09:13.113 UTC,Sounds good,passenger,driver
2021-07-27 19:25:35.887 UTC,,passenger,driver
2021-10-20 19:00:43.657 UTC,"I'm outside of the main entrance, is this correct?",passenger,driver
2021-11-20 06:08:54.677 UTC,yes,passenger,driver
2021-11-08 21:09:04.250 UTC,"I'm your driver, Ryan",passenger,driver
2021-09-22 20:20:15.429 UTC,be there asap,passenger,driver
2021-11-27 02:19:27.240 UTC,Sounds good,passenger,driver
2021-07-08 23:01:06.954 UTC,,passenger,driver
2021-08-02 22:54:19.067 UTC,,passenger,driver
2021-08-29 01:45:12.676 UTC,Sounds good,passenger,driver
2021-10-04 18:25:22.662 UTC,Sounds good,passenger,driver
2021-07-03 18:03:51.563 UTC,,passenger,driver
2021-07-08 05:10:53.606 UTC,,passenger,driver
2021-07-04 01:28:39.913 UTC,,passenger,driver
2021-11-19 06:37:28.331 UTC,"I'm your driver, Ryan",passenger,driver
